1	Can add log entry	1	add_logentry
2	Can change log entry	1	change_logentry
3	Can delete log entry	1	delete_logentry
4	Can view log entry	1	view_logentry
5	Can add permission	2	add_permission
6	Can change permission	2	change_permission
7	Can delete permission	2	delete_permission
8	Can view permission	2	view_permission
9	Can add group	3	add_group
10	Can change group	3	change_group
11	Can delete group	3	delete_group
12	Can view group	3	view_group
13	Can add user	4	add_user
14	Can change user	4	change_user
15	Can delete user	4	delete_user
16	Can view user	4	view_user
17	Can add content type	5	add_contenttype
18	Can change content type	5	change_contenttype
19	Can delete content type	5	delete_contenttype
20	Can view content type	5	view_contenttype
21	Can add session	6	add_session
22	Can change session	6	change_session
23	Can delete session	6	delete_session
24	Can view session	6	view_session
25	Can add course	7	add_course
26	Can change course	7	change_course
27	Can delete course	7	delete_course
28	Can view course	7	view_course
29	Can add module	8	add_module
30	Can change module	8	change_module
31	Can delete module	8	delete_module
32	Can view module	8	view_module
33	Can add course plan	9	add_courseplan
34	Can change course plan	9	change_courseplan
35	Can delete course plan	9	delete_courseplan
36	Can view course plan	9	view_courseplan
37	Can add order	10	add_order
38	Can change order	10	change_order
39	Can delete order	10	delete_order
40	Can view order	10	view_order
41	Can add course access	11	add_courseaccess
42	Can change course access	11	change_courseaccess
43	Can delete course access	11	delete_courseaccess
44	Can view course access	11	view_courseaccess
45	Can add module progress	12	add_moduleprogress
46	Can change module progress	12	change_moduleprogress
47	Can delete module progress	12	delete_moduleprogress
48	Can view module progress	12	view_moduleprogress
49	Can add site	13	add_site
50	Can change site	13	change_site
51	Can delete site	13	delete_site
52	Can view site	13	view_site
\.


